Tên bảng,Tên trường,Mô tả,Khóa,Ghi chú (FK suy luận)
RISK_ALERT_HISTORY,EVENT_TIME,Thời gian xảy ra sự kiện,,
RISK_ALERT_HISTORY,EVENT_TITLE,Tiêu đề sự kiện,,
RISK_ALERT_HISTORY,EVENT_DESCRIPTION,Mô tả sự kiện,,
RISK_ALERT_HISTORY,EVENT_USER_ID,User thực hiện,,
RISK_ALERT_HISTORY,EVENT_USER_NAME,Tên user thực hiện,,
RISK_ALERT_HISTORY,CREATED_AT,Ngày tạo,,
RISK_ALERT_HISTORY,UPDATED_AT,Ngày sửa cuối,,
RISK_ALERT_HISTORY,CREATED_BY_ID,User_id người tạo,,
RISK_ALERT_HISTORY,UPDATED_BY_ID,User_id người cập nhật,,
RISK_ALERT_HISTORY,CREATED_BY_NAME,Tên người tạo,,
RISK_ALERT_HISTORY,UPDATED_BY_NAME,Tên người cập nhật,,
RISK_ALERT_HISTORY,DELETED,Soft delete,,
RISK_ALERT_RESOLUTION,ID,Primary key,PK,
RISK_ALERT_RESOLUTION,ALERT_ID,Cảnh báo liên quan,FK,FK → RISK_ALERT.ID
RISK_ALERT_RESOLUTION,RESOLUTION_TYPE,"1=Quick (không giải trình), 2=Detailed (có giải trình)",,
RISK_ALERT_RESOLUTION,EXPLANATION_CONTENT,Nội dung giải trình chi tiết,,
RISK_ALERT_RESOLUTION,RESOLVED_AT,Thời điểm xử lý,,
RISK_ALERT_RESOLUTION,RESOLVED_BY_ID,User ID người xử lý,,
RISK_ALERT_RESOLUTION,RESOLVED_BY_NAME,Tên người xử lý,,
RISK_ALERT_RESOLUTION,CREATED_AT,Ngày tạo,,
RISK_ALERT_RESOLUTION,UPDATED_AT,Ngày sửa cuối,,
RISK_ALERT_RESOLUTION,CREATED_BY_ID,User_id người tạo,,
RISK_ALERT_RESOLUTION,UPDATED_BY_ID,User_id người cập nhật,,
RISK_ALERT_RESOLUTION,CREATED_BY_NAME,Tên người tạo,,
