Tên bảng,Tên trường,Kiểu dữ liệu,Mô tả,Khóa,Ghi chú (FK suy luận)
CURRENCY,INDEX IDX_PD_DEPENDS_ON,"ACTIVE, DELETED",,,
CURRENCY,IDX_CURRENCY_OLD_ID,OLD_ID,,,
CURRENCY,IDX_CURRENCY_EFFECTIVE_END,EFFECTIVE_END_DATE,,,
CURRENCY,IDX_CURRENCY_STABLE_ID,STABLE_ID,,,
DEPARTMENT,ID,VARCHAR2(36 CHAR),*Khóa chính (UUIDv7)*,PK,
DEPARTMENT,CODE,VARCHAR2(20 CHAR),*Mã phòng ban*,,
DEPARTMENT,NAME,VARCHAR2(255 CHAR),*Tên phòng ban*,,
DEPARTMENT,SORT_ORDER,NUMBER(10),*Thứ tự sắp xếp*,,
DEPARTMENT,PARENT_ID,VARCHAR2(36 CHAR),*ID phòng ban cha*,,
DEPARTMENT,DESCRIPTION,CLOB,*Mô tả*,,
DEPARTMENT,PHONE,VARCHAR2(20 CHAR),*Số điện thoại*,,
DEPARTMENT,EMAIL,VARCHAR2(255 CHAR),*Email*,,
DEPARTMENT,ACTIVE,NUMBER(1),"Trạng thái hoạt động (1: Đang sử dụng, 0: Không sử dụng)",,
DEPARTMENT,ACTIVE_REASON,CLOB,*Lý do hoạt động*,,
DEPARTMENT,DELETED,NUMBER(1),"Xóa mềm (0: Chưa xóa, 1: Đã xóa)",,
DEPARTMENT,DELETED_REASON,CLOB,*Lý do xóa*,,
DEPARTMENT,VERSION,NUMBER(MAX),*Phiên bản*,,
DEPARTMENT,EFFECTIVE_START_DATE,TIMESTAMP(6),*Ngày bắt đầu*,,
DEPARTMENT,EFFECTIVE_END_DATE,TIMESTAMP(6),*Ngày kết thúc*,,
DEPARTMENT,OLD_ID,VARCHAR2(36 CHAR),*ID cũ*,,
DEPARTMENT,CREATED_AT,TIMESTAMP(6),*Ngày tạo*,,
DEPARTMENT,UPDATED_AT,TIMESTAMP(6),*Ngày cập nhật*,,
DEPARTMENT,CREATED_BY_ID,VARCHAR2(36 CHAR),*Người tạo*,,FK suy luận → UBCK_STAFF.ID
DEPARTMENT,CREATED_BY_NAME,VARCHAR2(255 CHAR),*Tên người tạo*,,FK suy luận → UBCK_STAFF.ID
