Tên bảng,Tên trường,Kiểu dữ liệu,Mô tả,Khóa,Ghi chú (FK suy luận)
INVES,Name,NVARCHAR2(1500),Tên nhà đầu tư ủy thác,,
INVES,Dorf,NUMBER(22),Trong nước/Nước ngoài: 1 = Trong nước; 0 = Ngoài,,
INVES,IdNo,NVARCHAR2(150),CMND/CCCD/Hộ chiếu/ĐKKD,,
INVES,IdDate,DATE,Ngày cấp,,
INVES,IdType,NUMBER(22),Loại giấy tờ: 1 = CMND/Hộ chiếu; 0 = ĐKKD,,
INVES,NatId,RAW(16),Mã ID quốc tịch. FK → NATIONAL.Id,FK,FK → NATIONAL.Id
INVES,StoId,RAW(16),Mã ID loại hình NĐT. FK → STOCKHOLDERTYPE.Id,FK,FK → STOCKHOLDERTYPE.Id
INVES,SecId,RAW(16),Mã ID công ty QLQ. FK → SECURITIES.Id,FK,FK → SECURITIES.Id
INVES,RelationShip,NVARCHAR2(900),Quan hệ với người có liên quan,,
INVES,Deleted,NUMBER(22),Trạng thái bản ghi,,
INVES,IsDataMigration,NUMBER(1),1 = Dữ liệu đổ từ hệ thống cũ; 0 = Dữ liệu mới,,
INVES,CreatedBy,NVARCHAR2(300),Người tạo,,
INVES,DateCreated,DATE,Ngày tạo,,
INVES,DateModified,DATE,Ngày sửa,,
INVES,ModifyBy,NVARCHAR2(300),Người sửa,,
INVESACC,Id,RAW(16),ID tài khoản lưu ký. Mã hệ thống tự sinh (PK),PK,
INVESACC,InvesId,RAW(16),ID nhà đầu tư ủy thác. FK → INVES.Id,FK,FK → INVES.Id
INVESACC,Account,NVARCHAR2(900),Tài khoản lưu ký,,
INVESACC,AccPlace,NVARCHAR2(3000),Nơi lưu ký,,
INVESACC,ContractNo,NVARCHAR2(900),Số hợp đồng ủy thác,,
INVESACC,ActScale,NUMBER(22),Quy mô vốn ủy thác theo hợp đồng,,
INVESACC,AdScale,NUMBER(22),Quy mô vốn giao nhận thực tế,,
INVESACC,ManagerFee,NUMBER(22),Phí quản lý,,
