Tên bảng,Tên trường,Mô tả,Khóa,Ghi chú (FK suy luận)
RPTPERIOD,SfPdId,ID kỳ báo cáo cán bộ UB tự thiết lập kỳ. Dữ liệu lấy tại trường ID của bảng SELFSETPD,,
RPTPERIOD,PeriodType,Kỳ báo cáo: 1: Ngày 2: Tuần 3: Nửa tháng 4: Tháng 5: Quý 6: Bán niên 7: Năm,,
RPTPERIOD,LatestSendDate,Thời gian gửi báo cáo muộn nhấy,,
RPTPERIOD,RepeatTime,Lặp lại sau,,
RPTPERIOD,DateStartCount,Ngày bắt đầu tính hạn,,
RPTPERIOD,IsWorkingDay,Đơn vị tính: 0: Ngày 1: Ngày làm việc,,
RPTPERIOD,SendInDay,Gửi trong vòng,,
RPTPERIOD,Status,Trạng thái: 0: Không sử dụng 1: Sử dụng,,
RPTPERIOD,Description,Ghi chú,,
RPTPERIOD,FileName,,,
RPTPERIOD,LatestSendWeek,Thời gian gửi muộn nhất,,
RPTPDSHT,ShtId,ID sheet báo cáo đầu vào. Dữ liệu lấy tại trường ID của bảng SHEET.,"PK, FK",FK suy luận từ mô tả
RPTPDSHT,RptPdId,ID kỳ báo cáo đầu vào. Dữ liệu lấy tại trường ID của bảng RPTPERIOD.,"PK, FK",FK → RPTPERIOD.Id (suy luận từ tên trường)
RPTPDSHT,Deleted,Trạng thái xóa bản ghi: 1: Bị xóa 0: Không bị xóa,,
RPTPDSHT,DateCreated,Ngày tạo,,
RPTPDSHT,CreatedBy,Người tạo,,
RPTPDSHT,DateModified,Ngày sửa,,
RPTPDSHT,ModifyBy,Người sửa,,
RPTHTORY,Id,ID bản ghi,PK,
RPTHTORY,Deleted,Trạng thái xóa bản ghi: 1: Bị xóa 0: Không bị xóa,,
RPTHTORY,DateCreated,Ngày tạo,,
RPTHTORY,CreatedBy,Người tạo,,
RPTHTORY,DateModified,Ngày sửa,,
RPTHTORY,ModifyBy,Người sửa,,
RPTHTORY,RptId,ID biểu mẫu báo cáo đầu vào. Dữ liệu lấy tại trường ID của bảng RPTTEMP,,
RPTHTORY,Code,Mã biểu mẫu,,
RPTHTORY,Action,Thao tác,,
RPTHTORY,Version,Phiên bản,,
RPTHTORY,IsDownload,Cho phép tải xuống: 0: Không cho phép tải xuống 1: Cho phép tải xuống,,
RPTTPOUT,Id,ID bản ghi,PK,
RPTTPOUT,Deleted,Trạng thái xóa bản ghi: 1: Bị xóa 0: Không bị xóa,,
RPTTPOUT,DateCreated,Ngày tạo,,
RPTTPOUT,CreatedBy,Người tạo,,
RPTTPOUT,DateModified,Ngày sửa,,
RPTTPOUT,ModifyBy,Người sửa,,
RPTTPOUT,ShtOtId,Mã ID sheet báo cáo đầu ra,,
RPTTPOUT,Name,Tên biểu mẫu,,
RPTTPOUT,LegalBasis,Căn cứ pháp lý,,
RPTTPOUT,Code,Mã biểu mẫu,,
RPTTPOUT,Status,Trạng thái: 0: Bản nháp 1: Đang sử dụng 2: Không sử dụng,,
RPTTPOUT,Description,Ghi chú,,
RPTTPOUT,ReportGroup,Nhóm báo cáo: 1: Báo cáo công ty QLQ 2: Báo cáo công ty chứng khoán 3: Báo cáo ngân hàng lưu ký 4: Báo cáo trung tâm lưu ký 5: Báo cáo sở giao dịch CK 6: Báo cáo người đại diện CBTT 7: Báo cáo CN công ty QLQ NN tại VN 8: Khác,,
RPTTPOUT,SystemObject,Đối tượng tổng hợp: 1: Công ty QLQ 2: Công ty chứng khoán 3: Ngân hàng lưu ký 4: Trung tâm lưu ký 5: Sở giao dịch CK 6: Người đại diện CBTT 7: CN công ty QLQ NN tại VN,,
RPTTPOUT,SystemObjectLst,Lưu nhiều loại đối tượng. Chỉ áp dụng nếu báo cáo thống kê được cấu hình thống kê cho nhiều loại đối tượng.,,
SHEETOUT,Id,ID bản ghi,PK,
SHEETOUT,Deleted,Trạng thái xóa bản ghi: 1: Bị xóa 0: Không bị xóa,,
SHEETOUT,DateCreated,Ngày tạo,,
SHEETOUT,CreatedBy,Người tạo,,
SHEETOUT,DateModified,Ngày sửa,,
SHEETOUT,ModifyBy,Người sửa,,
SHEETOUT,TpOutId,ID biểu mẫu báo cáo đầu ra. Dữ liệu lấy từ trường ID của bảng RPTTPOUT.,FK,FK → RPTTPOUT.Id
SHEETOUT,Code,Mã sheet,,
SHEETOUT,Name,Tên sheet,,
SHEETOUT,SheetIndex,Thứ tự sheet,,
