source_system,source_table,silver_entity,group,lld_file
DCST,NHOM_DANH_MUC,,pending,
ThanhTra,DM_CAN_BO,Inspection Officer,T1,attr_ThanhTra_DM_CAN_BO.csv
ThanhTra,DM_CAN_BO,Involved Party Electronic Address,T1,attr_ThanhTra_DM_CAN_BO_IP_Electronic_Address.csv
ThanhTra,DM_CAN_BO,Involved Party Postal Address,T1,attr_ThanhTra_DM_CAN_BO_IP_Postal_Address.csv
ThanhTra,DM_CONG_TY_DC,Public Company,T1,attr_ThanhTra_DM_CONG_TY_DC.csv
ThanhTra,DM_CONG_TY_DC,Involved Party Electronic Address,T1,attr_ThanhTra_DM_CONG_TY_DC_IP_Electronic_Address.csv
ThanhTra,DM_CONG_TY_DC,Involved Party Postal Address,T1,attr_ThanhTra_DM_CONG_TY_DC_IP_Postal_Address.csv
ThanhTra,DM_CONG_TY_CK,Securities Company,T1,attr_ThanhTra_DM_CONG_TY_CK.csv
ThanhTra,DM_CONG_TY_CK,Involved Party Electronic Address,T1,attr_ThanhTra_DM_CONG_TY_CK_IP_Electronic_Address.csv
ThanhTra,DM_CONG_TY_CK,Involved Party Postal Address,T1,attr_ThanhTra_DM_CONG_TY_CK_IP_Postal_Address.csv
ThanhTra,DM_CONG_TY_QLQ,Fund Management Company,T1,attr_ThanhTra_DM_CONG_TY_QLQ.csv
ThanhTra,DM_CONG_TY_QLQ,Involved Party Electronic Address,T1,attr_ThanhTra_DM_CONG_TY_QLQ_IP_Electronic_Address.csv
ThanhTra,DM_CONG_TY_QLQ,Involved Party Postal Address,T1,attr_ThanhTra_DM_CONG_TY_QLQ_IP_Postal_Address.csv
ThanhTra,DM_DOI_TUONG_KHAC,Inspection Subject Other Party,T1,attr_ThanhTra_DM_DOI_TUONG_KHAC.csv
ThanhTra,DM_DOI_TUONG_KHAC,Involved Party Electronic Address,T1,attr_ThanhTra_DM_DOI_TUONG_KHAC_IP_Electronic_Address.csv
ThanhTra,DM_DOI_TUONG_KHAC,Involved Party Postal Address,T1,attr_ThanhTra_DM_DOI_TUONG_KHAC_IP_Postal_Address.csv
ThanhTra,TT_KE_HOACH,Inspection Annual Plan,T1,attr_ThanhTra_TT_KE_HOACH.csv
ThanhTra,GS_HO_SO,Surveillance Enforcement Case,T1,attr_ThanhTra_GS_HO_SO.csv
ThanhTra,DT_DON_THU,Complaint Petition,T1,attr_ThanhTra_DT_DON_THU.csv
ThanhTra,PCRT_HO_SO,AML Enforcement Case,T1,attr_ThanhTra_PCRT_HO_SO.csv
ThanhTra,PCTN_BAO_CAO,Anti-Corruption Report,T1,attr_ThanhTra_PCTN_BAO_CAO.csv
ThanhTra,PCRT_BAO_CAO,AML Periodic Report,T1,attr_ThanhTra_PCRT_BAO_CAO.csv
ThanhTra,TT_KE_HOACH_DOI_TUONG,Inspection Annual Plan Subject,T2,attr_ThanhTra_TT_KE_HOACH_DOI_TUONG.csv
ThanhTra,TT_KE_HOACH_VAN_BAN,Inspection Annual Plan Document Attachment,T2,attr_ThanhTra_TT_KE_HOACH_VAN_BAN.csv
ThanhTra,TT_QUYET_DINH,Inspection Decision,T2,attr_ThanhTra_TT_QUYET_DINH.csv
ThanhTra,DT_HO_SO,Complaint Processing Case,T2,attr_ThanhTra_DT_HO_SO.csv
ThanhTra,GS_HO_SO_VAN_BAN,Surveillance Case Document Attachment,T2,attr_ThanhTra_GS_HO_SO_VAN_BAN.csv
ThanhTra,GS_VAN_BAN_XU_LY,Surveillance Enforcement Decision,T2,attr_ThanhTra_GS_VAN_BAN_XU_LY.csv
ThanhTra,PCRT_HO_SO_VAN_BAN,AML Case Document Attachment,T2,attr_ThanhTra_PCRT_HO_SO_VAN_BAN.csv
ThanhTra,PCRT_VAN_BAN_XU_LY,AML Enforcement Decision,T2,attr_ThanhTra_PCRT_VAN_BAN_XU_LY.csv
ThanhTra,TT_QUYET_DINH_DOI_TUONG,Inspection Decision Subject,T3,attr_ThanhTra_TT_QUYET_DINH_DOI_TUONG.csv
ThanhTra,TT_QUYET_DINH_THANH_PHAN,Inspection Decision Team Member,T3,attr_ThanhTra_TT_QUYET_DINH_THANH_PHAN.csv
ThanhTra,TT_QUYET_DINH_VAN_BAN,Inspection Decision Document Attachment,T3,attr_ThanhTra_TT_QUYET_DINH_VAN_BAN.csv
ThanhTra,TT_HO_SO,Inspection Case,T3,attr_ThanhTra_TT_HO_SO.csv
ThanhTra,DT_HO_SO_VAN_BAN,Complaint Processing Case Document Attachment,T3,attr_ThanhTra_DT_HO_SO_VAN_BAN.csv
ThanhTra,DT_KET_LUAN,Complaint Processing Conclusion,T3,attr_ThanhTra_DT_KET_LUAN.csv
ThanhTra,DT_VAN_BAN_XU_LY,Complaint Enforcement Decision,T3,attr_ThanhTra_DT_VAN_BAN_XU_LY.csv
ThanhTra,GS_VAN_BAN_XU_LY_FILE,Surveillance Enforcement Decision File Attachment,T3,attr_ThanhTra_GS_VAN_BAN_XU_LY_FILE.csv
ThanhTra,GS_CONG_BO_XU_PHAT,Surveillance Penalty Announcement,T3,attr_ThanhTra_GS_CONG_BO_XU_PHAT.csv
ThanhTra,TT_HO_SO_CAN_BO,Inspection Case Officer Assignment,T4,attr_ThanhTra_TT_HO_SO_CAN_BO.csv
ThanhTra,TT_HO_SO_VAN_BAN,Inspection Case Document Attachment,T4,attr_ThanhTra_TT_HO_SO_VAN_BAN.csv
ThanhTra,TT_KET_LUAN,Inspection Case Conclusion,T4,attr_ThanhTra_TT_KET_LUAN.csv
ThanhTra,DT_CONG_BO_XU_PHAT,Complaint Penalty Announcement,T4,attr_ThanhTra_DT_CONG_BO_XU_PHAT.csv
ThanhTra,TT_CONG_BO_XU_PHAT,Inspection Penalty Announcement,T4,attr_ThanhTra_TT_CONG_BO_XU_PHAT.csv
